"taxon"	"AC1"	"AC2"	"AC3"	"AC4"	"AC5"	"AC6"	"AC7"	"AC8"	"AC9"	"AC10"	"AC11"	"AC12"	"AS1"	"AS2"	"AS3"	"AS4"	"AS5"	"AS6"	"AS7"	"AS8"	"AS9"	"AS10"	"AS11"	"AS12"	"EC1"	"EC2"	"EC3"	"EC4"	"EC5"	"EC6"	"EC7"	"EC8"	"EC9"	"EC10"	"EC11"	"ES1"	"ES2"	"ES3"	"ES4"	"ES5"	"ES6"	"ES7"	"ES8"	"ES9"	"ES10"	"ES11"
"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus_Nitrocosmicus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"1153"	"0"	"0"	"0"	"421"	"0"	"200"	"22"	"114"	"107"	"152"	"198"	"223"	"272"	"320"	"120"	"825"	"214"	"277"
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmatales; f__Thermoplasmataceae; g__E-plasma"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1950"	"0"	"0"	"0"	"0"	"0"	"0"	"1075"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Abditibacteriota; c__Abditibacteria; o__Abditibacteriales; f__Abditibacteriaceae; g__Abditibacterium"	"2651"	"1755"	"921"	"864"	"0"	"1173"	"982"	"933"	"983"	"876"	"985"	"381"	"109"	"331"	"393"	"171"	"207"	"205"	"299"	"220"	"409"	"242"	"425"	"279"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__AT-s3-28; o__AT-s3-28; f__AT-s3-28; g__AT-s3-28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2053"	"0"	"0"	"6"	"17"	"28"	"18"	"30"	"11"	"0"	"0"	"0"	"23"	"17"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriae; f__Acidobacteriae; g__Paludibaculum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"420"	"0"	"0"	"0"	"0"	"10"	"0"	"255"	"62"	"84"	"86"	"245"	"167"	"65"	"53"	"50"	"80"	"69"	"61"	"52"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1)"	"0"	"33"	"0"	"0"	"0"	"0"	"0"	"267"	"0"	"20"	"40"	"0"	"224"	"47"	"106"	"115"	"122"	"262"	"204"	"144"	"371"	"216"	"286"	"482"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Acidipila"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"0"	"0"	"162"	"0"	"224"	"83"	"148"	"142"	"75"	"626"	"289"	"143"	"277"	"306"	"411"	"431"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Edaphobacter"	"16"	"0"	"118"	"30"	"0"	"0"	"0"	"31"	"0"	"0"	"0"	"0"	"188"	"161"	"236"	"160"	"44"	"141"	"387"	"303"	"854"	"314"	"330"	"511"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Granulicella"	"2413"	"1752"	"3502"	"35"	"155"	"531"	"2222"	"3449"	"687"	"941"	"1169"	"783"	"12772"	"7727"	"7117"	"6694"	"8598"	"7993"	"10528"	"9736"	"11129"	"10056"	"9136"	"8474"	"3776"	"0"	"0"	"0"	"998"	"0"	"0"	"0"	"0"	"0"	"74"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__Occallatibacter"	"0"	"0"	"0"	"0"	"0"	"23"	"24"	"0"	"0"	"0"	"0"	"0"	"130"	"46"	"91"	"119"	"62"	"254"	"383"	"110"	"309"	"200"	"338"	"256"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae_(Subgroup_1); g__uncultured"	"1676"	"861"	"1485"	"312"	"349"	"325"	"909"	"2329"	"398"	"804"	"8544"	"1657"	"7401"	"3990"	"5075"	"3954"	"2291"	"6458"	"6633"	"5162"	"11298"	"6401"	"8544"	"8160"	"5504"	"2584"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter"	"135"	"88"	"0"	"10"	"0"	"89"	"0"	"413"	"0"	"127"	"686"	"0"	"29"	"9"	"7"	"25"	"9"	"44"	"0"	"8"	"17"	"12"	"23"	"17"	"0"	"0"	"4309"	"1257"	"1020"	"542"	"429"	"1671"	"0"	"458"	"0"	"64"	"173"	"234"	"271"	"84"	"75"	"58"	"85"	"28"	"87"	"126"
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"460"	"0"	"8"	"0"	"12"	"10"	"14"	"0"	"9"	"18"	"0"	"7"	"12"
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__11-24; f__11-24; g__11-24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1633"	"2846"	"427"	"0"	"1870"	"1651"	"0"	"293"	"134"	"211"	"317"	"586"	"342"	"656"	"467"	"246"	"743"	"314"	"620"	"643"
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1290"	"4919"	"2768"	"1936"	"2224"	"2365"	"0"	"5696"	"802"	"524"	"1066"	"1565"	"745"	"2011"	"441"	"677"	"704"	"636"	"1151"	"927"
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__Blastocatella"	"0"	"0"	"0"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1431"	"0"	"3045"	"1955"	"4493"	"5657"	"0"	"3750"	"416"	"397"	"644"	"1279"	"329"	"970"	"358"	"209"	"473"	"231"	"543"	"690"
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__JGI_0001001-H03"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1683"	"0"	"0"	"0"	"1358"	"0"	"726"	"255"	"58"	"89"	"141"	"146"	"332"	"109"	"142"	"151"	"105"	"197"	"165"
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__Stenotrophobacter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4100"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"847"	"0"	"26"	"76"	"65"	"14"	"129"	"0"	"37"	"83"	"47"	"119"	"67"
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__uncultured"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1436"	"3233"	"2118"	"0"	"1236"	"1666"	"931"	"0"	"0"	"430"	"826"	"1654"	"2510"	"1317"	"2546"	"750"	"857"	"1163"	"1104"	"2086"	"1213"
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__DS-100; f__DS-100; g__DS-100"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1572"	"426"	"0"	"1172"	"0"	"78"	"109"	"191"	"66"	"230"	"83"	"121"	"124"	"40"	"170"	"139"
"d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1106"	"0"	"520"	"0"	"0"	"233"	"0"	"839"	"0"	"674"	"482"	"1922"	"1423"	"1659"	"962"	"527"	"1011"	"859"	"1360"	"1258"
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Holophagaceae"	"0"	"0"	"0"	"0"	"428"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Subgroup_7; f__Subgroup_7; g__Subgroup_7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1246"	"0"	"1806"	"907"	"545"	"0"	"0"	"0"	"0"	"0"	"0"	"611"	"424"	"1239"	"2299"	"774"	"464"	"351"	"842"	"618"	"855"	"807"
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1590"	"999"	"0"	"0"	"0"	"224"	"863"	"0"	"0"	"14"	"258"	"266"	"488"	"390"	"178"	"77"	"117"	"130"	"162"	"140"	"146"
