"Element"	"AS1"	"AS2"	"AS3"	"AS4"	"AS5"	"AS6"	"AS7"	"AS8"	"AS9"	"AS10"	"AS11"	"AS12"	"ES1"	"ES2"	"ES3"	"ES4"	"ES5"	"ES6"	"ES7"	"ES8"	"ES9"	"ES10"	"ES11"
"Mn"	"34.5"	"27.1"	"32.8"	"19.5"	"19"	"55.7"	"33.2"	"40.6"	"25.1"	"17.7"	"41.9"	"35.9"	"49.3"	"109.9"	"116.2"	"167.9"	"69.6"	"46"	"70.8"	"56.4"	"29.7"	"72.6"	"48.2"
"Fe"	"4159.9"	"921.6"	"2664.4"	"2354.9"	"1694.3"	"5228.7"	"2964.8"	"5763.1"	"2768.8"	"1931.2"	"6973.4"	"3949.4"	"3095.8"	"6784.8"	"9353.5"	"13121.6"	"4798"	"2807"	"3813.6"	"2985.2"	"1532.1"	"4192"	"2520.5"
"Cu"	"119.2"	"46.7"	"67.8"	"52.6"	"51.7"	"91.8"	"71.5"	"74.5"	"73.9"	"57.7"	"120.6"	"95.9"	"22.5"	"41.7"	"57.5"	"86.5"	"31.6"	"19.7"	"22.8"	"20.4"	"10.4"	"28.3"	"15.9"
"Zn"	"82.1"	"89.6"	"66.5"	"66.2"	"116.2"	"62.9"	"40.9"	"64"	"49.7"	"63.2"	"69.5"	"60.2"	"40.5"	"82.7"	"127"	"91"	"200.6"	"83.6"	"48.5"	"195"	"141.9"	"97.4"	"153"
"K"	"2856.6"	"4106.9"	"5206.9"	"2260.3"	"2719.1"	"3419.9"	"3416.9"	"3282.8"	"2657.5"	"2587.7"	"3829.7"	"3756.5"	"1217.3"	"1464"	"1638.8"	"2115.6"	"1337.3"	"976.2"	"1078.6"	"990.6"	"1049.1"	"1304.9"	"1079.4"
"Ca"	"2155.8"	"1862.5"	"1776.5"	"1094.6"	"1362.5"	"3188"	"1671.6"	"1561.22"	"1483.8"	"1399.3"	"3172.1"	"1952.3"	"4650.2"	"6253.9"	"5740.3"	"8277.6"	"7471.6"	"5853.1"	"5069.5"	"6547.6"	"7378.8"	"7727.6"	"6192.3"
"pH"	"5.31"	"4.63"	"4.31"	"4.37"	"3.96"	"4.05"	"3.86"	"4.08"	"3.98"	"3.91"	"3.95"	"3.62"	"6.86"	"5.99"	"6.21"	"6.26"	"6.35"	"6.49"	"6.58"	"6.63"	"6.73"	"6.76"	"6.75"
"EC"	"91.34"	"91.34"	"91.34"	"91.34"	"93.04"	"93.04"	"93.04"	"93.04"	"98.5"	"98.5"	"98.5"	"98.5"	"43.01"	"43.01"	"43.01"	"43.01"	"44.51"	"44.51"	"44.51"	"44.51"	"34.42"	"34.42"	"34.42"
"OM"	"9.112604266666667"	"9.112604266666667"	"9.112604266666667"	"9.112604266666667"	"8.865957333333334"	"8.865957333333334"	"8.865957333333334"	"8.865957333333334"	"11.192437866666667"	"11.192437866666667"	"11.192437866666667"	"11.192437866666667"	"1.4889613333333334"	"1.4889613333333334"	"1.4889613333333334"	"1.4889613333333334"	"1.6550399999999998"	"1.6550399999999998"	"1.6550399999999998"	"1.6550399999999998"	"1.2418546666666666"	"1.2418546666666666"	"1.2418546666666666"
"TN"	"6.878704970360237"	"6.878704970360237"	"6.878704970360237"	"6.878704970360237"	"6.57090743274054"	"6.57090743274054"	"6.57090743274054"	"6.57090743274054"	"8.463292293661652"	"8.463292293661652"	"8.463292293661652"	"8.463292293661652"	"0.3263631033808872"	"0.3263631033808872"	"0.3263631033808872"	"0.3263631033808872"	"0.06905087616441927"	"0.06905087616441927"	"0.06905087616441927"	"0.06905087616441927"	"0.2042212233730702"	"0.2042212233730702"	"0.2042212233730702"
"TP"	"15.516460283902141"	"15.516460283902141"	"15.516460283902141"	"15.516460283902141"	"12.609483539716098"	"12.609483539716098"	"12.609483539716098"	"12.609483539716098"	"16.535789791603744"	"16.535789791603744"	"16.535789791603744"	"16.535789791603744"	"0.18876472364844463"	"0.18876472364844463"	"0.18876472364844463"	"0.18876472364844463"	"0.1510117789187558"	"0.1510117789187558"	"0.1510117789187558"	"0.1510117789187558"	"0.18876472364844463"	"0.18876472364844463"	"0.18876472364844463"
"POlsen"	"313.2631578947368"	"313.2631578947368"	"313.2631578947368"	"313.2631578947368"	"374.8304093567251"	"374.8304093567251"	"374.8304093567251"	"374.8304093567251"	"392.4210526315789"	"392.4210526315789"	"392.4210526315789"	"392.4210526315789"	"6.4"	"6.4"	"6.4"	"6.4"	"6.587134502923976"	"6.587134502923976"	"6.587134502923976"	"6.587134502923976"	"7.878362573099416"	"7.878362573099416"	"7.878362573099416"
"Temperature"	"11.3"	"11.3"	"11.3"	"11.3"	"11.3"	"11.3"	"11.3"	"11.3"	"11.3"	"11.3"	"11.3"	"11.3"	"5.7"	"5.7"	"5.7"	"5.7"	"5.7"	"5.7"	"5.7"	"5.7"	"5.7"	"5.7"	"5.7"
