Dataset	Group 1 Prefix	Group 2 Prefix	Mantel Statistic	P-value
Phylum	AC	AS	0.24274230319695797	0.049
Genus	AC	AS	0.1734956895599998	0.184
Order	AC	AS	0.2052494056972335	0.094
Phylum	EC	ES	-0.19947580824879724	0.3
Genus	EC	ES	-0.08274073640644174	0.713
Order	EC	ES	-0.11033006216581755	0.623
Phylum	AC	EC	-0.21842851176523298	0.334
Genus	AC	EC	-0.12530823887994785	0.668
Order	AC	EC	0.1784848959385731	0.515
Phylum	AS	ES	0.27690973562844234	0.049
Genus	AS	ES	0.12951661494373415	0.269
Order	AS	ES	0.12899396568069518	0.343
